Value,Disaggregation combinations using this value,Number of indicators
Adultos mayores (65 años o más),1,1
Hombres (4 horas o más a cuidados) 1,1,1
Hombres (4 horas o más a hogar) 2,1,1
Hombres adultos mayores,1,1
Hombres indígenas,1,1
Hombres (Menos de 4 horas a cuidados) 1,1,1
Hombres (Menos de 4 horas a hogar) 2,1,1
Hombres,1,1
Jóvenes (los de 12 a 29 años),1,1
Mujeres (4 horas o más a cuidados) 1,1,1
Mujeres (4 horas o más a hogar) 2,1,1
Mujeres adultos mayores,1,1
Mujeres indígenas,1,1
Mujeres (Menos de 4 horas a cuidados) 1,1,1
Mujeres (Menos de 4 horas a hogar) 2,1,1
Mujeres,1,1
Nacional,1,1
Niños y niñas (menores de 18 años),1,1
Personas con discapacidad,1,1
Población analfabeta,1,1
Población indígena,1,1
Primera infancia (0 a 5 años),1,1
Ámbito rural,1,1
Ámbito urbano,1,1
