Value,Disaggregation combinations using this value,Number of indicators
Acapulco,8,1
Aguascalientes,8,1
Campeche,8,1
Cancún,8,1
Celaya,8,1
Chihuahua,8,1
Chilpancingo de los Bravo,8,1
Ciudad Obregón,8,1
Coatzacoalcos,8,1
Colima,8,1
Cuernavaca,8,1
Culiacán,8,1
Durango,8,1
Ensenada,8,1
Guadalajara,8,1
Hermosillo,8,1
Heroica Matamoros,8,1
Irapuato,8,1
Juárez,8,1
La Paz,8,1
León,8,1
Mazatlán,8,1
Mexicali,8,1
Monterrey,8,1
Morelia,8,1
Mérida,8,1
Nuevo Laredo,8,1
Oaxaca,8,1
Pachuca,8,1
Puebla,8,1
Querétaro,8,1
Reynosa,8,1
Saltillo,8,1
San Luis Potosí,8,1
Tampico,8,1
Tapachula,8,1
Tehuacán,8,1
Tepic,8,1
Tijuana,8,1
Tlaxcala,8,1
Toluca,8,1
Torreón,8,1
Tuxtla Gutiérrez,8,1
Uruapan,8,1
Veracruz,8,1
Villahermosa,8,1
Xalapa-Enríquez,8,1
Zacatecas,8,1
Zona Metropolitana del Valle de México,8,1
