Value,Disaggregation combinations using this value,Number of indicators
"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",3,1
Directores y gerentes,3,1
No especificado,3,1
Ocupaciones elementales,3,1
Ocupaciones militares,3,1
"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",3,1
Operadores de instalaciones y máquinas y ensambladores,3,1
Personal de apoyo administrativo,3,1
Profesionales científicos e intelectuales,3,1
Total,3,1
Trabajadores de los servicios y vendedores de comercios y mercados,3,1
Técnicos y profesionales de nivel medio,3,1
