Value,Disaggregation combinations using this value,Number of indicators
Área Metropolitana Acapulco,3,1
Área Metropolitana Aguascalientes,3,1
Área Metropolitana Campeche,3,1
Área Metropolitana Cancún,3,1
Área Metropolitana Chihuahua,3,1
Área Metropolitana Ciudad de México,3,1
Área Metropolitana Colima,3,1
Área Metropolitana Cuernavaca,3,1
Área Metropolitana Culiacán,3,1
Área Metropolitana Durango,3,1
Área Metropolitana Guadalajara,3,1
Área Metropolitana Hermosillo,3,1
Área Metropolitana La Paz,3,1
Área Metropolitana León,3,1
Área Metropolitana Monterrey,3,1
Área Metropolitana Morelia,3,1
Área Metropolitana Mérida,3,1
Área Metropolitana Oaxaca,3,1
Área Metropolitana Pachuca,3,1
Área Metropolitana Puebla,3,1
Área Metropolitana Querétaro,3,1
Área Metropolitana Saltillo,3,1
Área Metropolitana San Luis Potosí,3,1
Área Metropolitana Tampico,3,1
Área Metropolitana Tepic,3,1
Área Metropolitana Tijuana,3,1
Área Metropolitana Tlaxcala,3,1
Área Metropolitana Toluca,3,1
Área Metropolitana Tuxtla Gutiérrez,3,1
Área Metropolitana Veracruz,3,1
Área Metropolitana Villahermosa,3,1
Área Metropolitana Zacatecas,3,1
